"5","0",,"Региональные новости"
"2","0",,"Муниципальные новости"
"3","0",,"Пресс-релизы"
"4","0",,"Статьи"
"6","0",,"Афиша"
"7","0",,"Газета"
"8","0",,"Твой проект"
"9","0",,"Летний отдых"
"10","0",,"скоро"
"11","0",,"Федеральные новости"
